capturedDate,impressions,clicks,impressions_cumul,clicks_cumul,channel_name,region
2018-09-17,157.0,0.0,157.0,0.0,Display,Aceh Sm
2018-09-17,45.0,0.0,202.0,0.0,Display,Aceh Sm
2018-09-17,73.0,0.0,275.0,0.0,Display,Aceh Sm
2018-09-18,83.0,0.0,358.0,0.0,Display,Aceh Sm
2018-09-18,14.0,0.0,372.0,0.0,Display,Aceh Sm
2018-09-18,21.0,0.0,393.0,0.0,Display,Aceh Sm
2018-09-19,180.0,0.0,573.0,0.0,Display,Aceh Sm
2018-09-19,19.0,0.0,592.0,0.0,Display,Aceh Sm
2018-09-19,16.0,0.0,608.0,0.0,Display,Aceh Sm
2018-09-20,176.0,0.0,784.0,0.0,Display,Aceh Sm
2018-09-20,15.0,0.0,799.0,0.0,Display,Aceh Sm
2018-09-20,11.0,0.0,810.0,0.0,Display,Aceh Sm
2018-09-21,14.0,0.0,824.0,0.0,Display,Aceh Sm
2018-09-21,1.0,0.0,825.0,0.0,Display,Aceh Sm
2018-09-22,1.0,0.0,826.0,0.0,Display,Aceh Sm
2018-09-22,29.0,0.0,855.0,0.0,Display,Aceh Sm
2018-09-22,82.0,0.0,937.0,0.0,Display,Aceh Sm
2018-09-23,98.0,0.0,1035.0,0.0,Display,Aceh Sm
2018-09-23,27.0,0.0,1062.0,0.0,Display,Aceh Sm
2018-09-23,1.0,0.0,1063.0,0.0,Display,Aceh Sm
2018-09-23,0.0,0.0,1063.0,0.0,Display,Aceh Sm
2018-09-24,218.0,0.0,1281.0,0.0,Display,Aceh Sm
2018-09-24,26.0,0.0,1307.0,0.0,Display,Aceh Sm
2018-09-24,1.0,0.0,1308.0,0.0,Display,Aceh Sm
2018-09-24,3.0,0.0,1311.0,0.0,Display,Aceh Sm
2018-09-25,86.0,0.0,1397.0,0.0,Display,Aceh Sm
2018-09-25,22.0,0.0,1419.0,0.0,Display,Aceh Sm
2018-09-25,3.0,0.0,1422.0,0.0,Display,Aceh Sm
2018-09-26,112.0,0.0,1534.0,0.0,Display,Aceh Sm
2018-09-26,12.0,0.0,1546.0,0.0,Display,Aceh Sm
2018-09-26,3.0,0.0,1549.0,0.0,Display,Aceh Sm
2018-09-17,1.0,0.0,1.0,0.0,Display,Bali
2018-09-17,6189.0,5.0,6190.0,5.0,Display,Bali
2018-09-17,43.0,0.0,6233.0,5.0,Display,Bali
2018-09-17,7.0,0.0,6240.0,5.0,Display,Bali
2018-09-17,4.0,0.0,6244.0,5.0,Display,Bali
2018-09-17,26.0,0.0,6270.0,5.0,Display,Bali
2018-09-17,5.0,0.0,6275.0,5.0,Display,Bali
2018-09-17,14.0,0.0,6289.0,5.0,Display,Bali
2018-09-17,5.0,0.0,6294.0,5.0,Display,Bali
2018-09-17,20.0,0.0,6314.0,5.0,Display,Bali
2018-09-17,3.0,0.0,6317.0,5.0,Display,Bali
2018-09-18,2.0,0.0,6319.0,5.0,Display,Bali
2018-09-18,2.0,0.0,6321.0,5.0,Display,Bali
2018-09-18,4.0,0.0,6325.0,5.0,Display,Bali
2018-09-18,4.0,0.0,6329.0,5.0,Display,Bali
2018-09-18,0.0,0.0,6329.0,5.0,Display,Bali
2018-09-18,2.0,0.0,6331.0,5.0,Display,Bali
