genres,sum(sum(rating)),sum(count(userId)),popularity
Film-Noir,1071515.5,272742,3.928678018053692
War,5414372.5,1426112,3.796596971345869
Documentary,1281994.5,345471,3.7108599564073397
Crime,17060532.5,4631581,3.683522430029832
Drama,44818812.0,12191048,3.6763707271105814
Mystery,8102331.0,2210388,3.6655695742105006
IMAX,3988759.0,1102179,3.6189756836230775
Animation,6504126.5,1803041,3.607309262518157
Western,1940615.5,542424,3.5776726324793886
Musical,3931299.5,1109674,3.5427517451071218
Romance,17987267.5,5078478,3.541861853098507
Thriller,26354511.0,7489628,3.5188010672893233
Adventure,22668791.5,6452309,3.5132836167641694
Fantasy,10937401.0,3118549,3.50720832027972
Sci-Fi,16450778.0,4740208,3.4704759791131528
Action,28444823.5,8214956,3.4625655329133838
Children,8152713.5,2381124,3.423892875801512
Comedy,34195076.5,9999184,3.419786704595095
(no genres listed),60525.5,18389,3.2913970308336506
Horror,6801260.5,2070791,3.2843780468429697
